station_id,obsTime,ELEV,WDIR,WDSD,TEMP,HUMD,PRES,SUN,H_24R,H_FX,H_XD,H_FXT,D_TX,D_TXT,D_TN,D_TNT
C0X270,2019/8/30 00:00,33,136,0.3,24.9,1,1005.9,-99,29.5,-99,-99,-99,34.2,,23.6,
C0G880,2019/8/30 00:00,92,148,0.7,28.1,0.8,999.5,-99,0,-99,-99,-99,32.6,,27,
C0R520,2019/8/30 00:00,18,0,0.2,27.1,-99,1006.8,-99,0,-99,-99,-99,32.2,,26.8,
C0O810,2019/8/30 00:00,161,27,0.7,24.3,0.99,994,-99,29.5,-99,-99,-99,34,,24.3,
C0E790,2019/8/30 00:00,344,150,0.8,26.7,0.98,970.2,-99,0,-99,-99,-99,30.7,,25.8,
C0F9Y0,2019/8/30 00:00,3313,120,2.2,9.9,0.79,688.4,-99,0,-99,-99,-99,19.3,,6.5,
C0S930,2019/8/30 00:00,248,257,1,26.1,0.85,982,-99,0,-99,-99,-99,31.3,,24.6,
C0M770,2019/8/30 00:00,164,106,0.5,25.8,1,990.2,-99,50.5,-99,-99,-99,32,,24.4,
C0R470,2019/8/30 00:00,103,34,0.4,26.2,0.99,998.1,-99,-99,-99,-99,-99,32.8,,25.9,
C0W120,2019/8/30 00:00,58,173,5.4,26.6,0.95,1002.2,-99,0,-99,-99,-99,30.6,,25.1,
C0V350,2019/8/30 00:00,36,298,0.5,26.8,0.92,1006.2,-99,0,-99,-99,-99,33.9,,25.9,
CM0160,2019/8/30 00:00,196,95,0.6,26.7,0.89,992.3,-99,0,-99,-99,-99,33.7,,25.7,
C0V500,2019/8/30 00:00,6,121,0.4,27,0.99,1008.7,-99,23.5,-99,-99,-99,31,,26.6,
C0SA30,2019/8/30 00:00,92,289,2.6,27.8,0.79,999.6,-99,0.5,-99,-99,-99,31.1,,25.7,
C0U710,2019/8/30 00:00,1942,0,0.2,15.6,0.99,808.4,-99,26.5,-99,-99,-99,22.9,,15.1,
C0Z100,2019/8/30 00:00,36,232,0.4,26.1,0.91,1007.2,-99,0,-99,-99,-99,34.2,,25.2,
C0Z170,2019/8/30 00:00,199,0,0.1,25.2,0.99,988.9,-99,4,-99,-99,-99,35,,24.8,
C0K430,2019/8/30 00:00,30,152,1.7,26.8,0.89,1006.4,-99,0,-99,-99,-99,32,,26.6,
C0T9M0,2019/8/30 00:00,92,295,2.5,25.5,0.96,1000.4,-99,1,-99,-99,-99,31.6,,25.3,
C0AI00,2019/8/30 00:00,188,293,0.8,28.7,0.74,987.5,-99,0,-99,-99,-99,33.8,,27,
C0AC40,2019/8/30 00:00,1079,138,1.2,21.9,0.99,892.1,-99,0,-99,-99,-99,26,,20.8,
C0A930,2019/8/30 00:00,216,299,1.6,26.4,0.99,982.9,-99,0,-99,-99,-99,31.6,,24.3,
C0A640,2019/8/30 00:00,241,0,0,25.6,0.93,983.9,-99,0,-99,-99,-99,33,,25.3,
C0I420,2019/8/30 00:00,305,1,0.7,25.3,0.84,975.4,-99,0,-99,-99,-99,33.2,,25.1,
C0R170,2019/8/30 00:00,26,0,0.1,26.7,1,1006.3,-99,0,-99,-99,-99,33.4,,26.3,
C0M530,2019/8/30 00:00,1385,84,0.8,18.3,0.99,867.6,-99,78.5,-99,-99,-99,23.8,,17.2,
C0H960,2019/8/30 00:00,120,180,1.1,28.8,0.88,994.2,-99,0,-99,-99,-99,33.3,,27.4,
C0X280,2019/8/30 00:00,22,160,0.4,27.4,0.88,1006.6,-99,0,-99,-99,-99,31.2,,27.4,
C0AH40,2019/8/30 00:00,426,11,0.8,27.4,0.81,961.4,-99,0,-99,-99,-99,31.8,,25.5,
C0T9A0,2019/8/30 00:00,498,216,1.4,24,0.99,954.9,-99,0,-99,-99,-99,27.9,,22.8,
C0K390,2019/8/30 00:00,31,171,0.3,27,0.87,1005.5,-99,0,-99,-99,-99,32.5,,26.5,
C0I540,2019/8/30 00:00,3344,112,4.3,7.7,0.91,685.1,-99,-99,-99,-99,-99,17.3,,7.7,
C0G890,2019/8/30 00:00,24,171,2.7,29,0.89,1005.7,-99,0,-99,-99,-99,32.6,,27.9,
C0G720,2019/8/30 00:00,50,101,0.8,27.7,0.93,1002.8,-99,0,-99,-99,-99,32.3,,26.7,
C0UA40,2019/8/30 00:00,1121,184,0.7,20.6,0.95,888.5,-99,36.5,-99,-99,-99,25.3,,20.4,
C0V400,2019/8/30 00:00,56,128,0.5,27.1,0.93,1002,-99,7,-99,-99,-99,32.2,,26.4,
C0X130,2019/8/30 00:00,27,186,1.3,26.6,1,1005.7,-99,0,-99,-99,-99,34.2,,26.6,
C0A520,2019/8/30 00:00,48,0,0,29.7,0.82,1003.5,-99,0.5,-99,-99,-99,35.3,,27,
C0U870,2019/8/30 00:00,474,0,0,24.2,0.95,957.5,-99,0,-99,-99,-99,30,,23.8,
C0X080,2019/8/30 00:00,2,135,1.6,27,0.93,1008.3,-99,0,-99,-99,-99,33.1,,26.8,
CM0150,2019/8/30 00:00,11,38,0.3,27.4,0.85,1008,-99,0,-99,-99,-99,31.4,,26.6,
C0I480,2019/8/30 00:00,2165,0,0,13.5,0.97,789.3,-99,24.5,-99,-99,-99,20.7,,12.9,
C0A860,2019/8/30 00:00,362,0,0,25.6,0.88,968.2,-99,0,-99,-99,-99,32.2,,23.9,
C0U940,2019/8/30 00:00,25,267,1,26.8,0.87,1007,-99,0,-99,-99,-99,33.5,,25.7,
C0S970,2019/8/30 00:00,19,298,2.4,26.7,0.9,1007.1,-99,5,-99,-99,-99,30.6,,26.3,
C0V260,2019/8/30 00:00,126,68,1.2,25.3,0.98,995.3,-99,33.5,-99,-99,-99,36.3,,25.3,
C0H990,2019/8/30 00:00,3076,203,1.2,8.6,0.81,707.8,-99,15,-99,-99,-99,19,,7.3,
C0AH90,2019/8/30 00:00,660,0,0,22.8,0.99,939.2,-99,0,-99,-99,-99,30.4,,20.7,
CM0170,2019/8/30 00:00,106,93,2,26.5,0.86,998,-99,0,-99,-99,-99,31.4,,25.9,
C0F860,2019/8/30 00:00,2215,69,0.6,13.1,1,781.9,-99,8.5,-99,-99,-99,24.8,,13.1,
C0U890,2019/8/30 00:00,116,252,2.3,26,0.99,997,-99,0,-99,-99,-99,32.4,,25.7,
C0G800,2019/8/30 00:00,15,186,2.1,27.8,0.92,1006.6,-99,0,-99,-99,-99,33.1,,26.8,
C0F850,2019/8/30 00:00,379,156,0.4,25.9,0.89,966.1,-99,0,-99,-99,-99,30.9,,24.8,
C0AH50,2019/8/30 00:00,275,294,2,28.8,0.92,978,-99,0,-99,-99,-99,32.1,,27.3,
C0Z160,2019/8/30 00:00,124,125,0.3,25.4,0.91,996.7,-99,0,-99,-99,-99,32.2,,18.9,
C0R540,2019/8/30 00:00,17,108,1.2,27.2,0.84,1006.8,-99,0,-99,-99,-99,31.7,,27.2,
C0K480,2019/8/30 00:00,56,10,0.8,27.4,0.89,1002.4,-99,0.5,-99,-99,-99,32,,27,
C0H890,2019/8/30 00:00,440,32,0.3,25.1,0.75,960.3,-99,0,-99,-99,-99,31.9,,25.1,
C0S770,2019/8/30 00:00,375,282,0.3,24.1,0.99,967.9,-99,2.5,-99,-99,-99,30.4,,24.1,
C0X230,2019/8/30 00:00,29,171,2.2,26.5,0.9,1006.8,-99,2,-99,-99,-99,31.6,,25.6,
C0B010,2019/8/30 00:00,38,0,0,28.2,0.89,1001.6,-99,0,-99,-99,-99,34.1,,27.6,
C0R490,2019/8/30 00:00,49,2,0.6,26.8,0.94,1003.1,-99,7,-99,-99,-99,33,,26.8,
C0V440,2019/8/30 00:00,27,0,0.2,26.5,0.89,1005.5,-99,1,-99,-99,-99,32.8,,26.3,
C0SA40,2019/8/30 00:00,200,0,0.1,25.4,0.89,987.4,-99,0,-99,-99,-99,32.2,,24.4,
C0Z280,2019/8/30 00:00,224,116,1,24.1,0.99,985.6,-99,5,-99,-99,-99,32.1,,24,
C0Z070,2019/8/30 00:00,247,333,1.2,23.9,0.99,981.9,-99,20,-99,-99,-99,34,,23.1,
C0T9N0,2019/8/30 00:00,261,299,0.9,24.9,0.9,980.7,-99,0,-99,-99,-99,32.4,,24.1,
C0K470,2019/8/30 00:00,97,112,0.8,25.9,0.99,998,-99,0.5,-99,-99,-99,32.2,,25.6,
C0V650,2019/8/30 00:00,28,138,1.3,27.5,0.92,1007.5,-99,4,-99,-99,-99,31.3,,27,
C0H9C0,2019/8/30 00:00,3402,123,1.2,9.1,0.83,678.8,-99,2.5,-99,-99,-99,22.3,,5.9,
C0U780,2019/8/30 00:00,15,282,0.4,28.1,0.78,1007.5,-99,0,-99,-99,-99,34.1,,27.2,
C0U760,2019/8/30 00:00,22,0,0,25.4,0.99,1007.8,-99,0,-99,-99,-99,33.3,,25.3,
C0X290,2019/8/30 00:00,10,157,2,27.3,0.91,1007.6,-99,12.5,-99,-99,-99,32.2,,26.3,
C0R420,2019/8/30 00:00,504,0,0,22.5,-99,949.9,-99,20.5,-99,-99,-99,28.7,,22.2,
C0E830,2019/8/30 00:00,37,139,0.9,28.9,0.83,1004,-99,0,-99,-99,-99,32.9,,27.9,
C0K330,2019/8/30 00:00,38,215,0.7,27.4,0.84,1004.4,-99,0.5,-99,-99,-99,33.6,,26.7,
C0M660,2019/8/30 00:00,40,223,0.6,26.8,0.87,1004.9,-99,0,-99,-99,-99,32.2,,26.3,
C0D580,2019/8/30 00:00,120,0,0,26,0.97,994.7,-99,0,-99,-99,-99,32,,24,
C0R640,2019/8/30 00:00,21,115,1,28.3,0.82,-99,-99,0,-99,-99,-99,31.2,,27.9,
C0E810,2019/8/30 00:00,53,188,0.9,26.3,0.96,1002.7,-99,0,-99,-99,-99,32.8,,25.3,
C0G830,2019/8/30 00:00,27,147,0.4,27.8,1,1004.4,-99,0,-99,-99,-99,32.1,,27,
C0A550,2019/8/30 00:00,422,0,0,24.1,1,962.5,-99,2,-99,-99,-99,31.6,,24.1,
C0G750,2019/8/30 00:00,31,131,0.5,27.2,0.87,1006.3,-99,0,-99,-99,-99,32.3,,26.6,
C0Z270,2019/8/30 00:00,343,230,2.4,24.1,0.97,971.8,-99,3.5,-99,-99,-99,28,,23.9,
C0K240,2019/8/30 00:00,1132,328,0.5,20.5,0.99,890.6,-99,9,-99,-99,-99,26.7,,19.8,
C0I080,2019/8/30 00:00,536,0,0,23,0.93,953.2,-99,0.5,-99,-99,-99,32.3,,22.9,
C0UA00,2019/8/30 00:00,392,173,1,22.9,0.99,966.6,-99,46.5,-99,-99,-99,33.9,,22.8,
C0AD40,2019/8/30 00:00,32,189,0.8,28.9,0.81,1004.7,-99,0,-99,-99,-99,34.3,,25.9,
